title;description;category;tags;location;valuation;custodian;cf:Serial number,type:text;cf:Brand,type:option;cf:Purchase date,type:date;cf:Warranty expiry,type:date;cf:Last maintenance,type:date;cf:Operational status,type:option;cf:Is portable,type:boolean
Dell Latitude 7420 Laptop;"14"" business laptop with Intel i7 processor";Computers;laptop,business;Main Office;1200;John Smith;DL7420-001;Dell;2023-01-15;2026-01-14;2023-06-30;Operational;yes
HP EliteDesk 800 G6;Desktop workstation for design team;Computers;desktop,workstation;Design Lab;1500;Emily Johnson;HPE800-002;HP;2022-03-22;2025-03-21;2023-05-15;Operational;no
"Apple iMac 27"" Retina 5K";High-performance desktop for creative work;Computers;desktop,creative;Marketing Dept;2200;Michael Brown;IMAC5K-003;Apple;2022-11-05;2025-11-04;2023-07-01;Operational;no
Lenovo ThinkPad X1 Carbon;Ultralight business laptop;Computers;laptop,business;Sales Office;1400;Sarah Davis;TPX1C-004;Lenovo;2023-02-18;2026-02-17;2023-08-10;Operational;yes
Cisco Catalyst 9300 Switch;48-port network switch;Networking;switch,enterprise;Server Room;5500;Tech Team;CC9300-005;Cisco;2021-09-30;2024-09-29;2023-04-15;Operational;no
Ubiquiti UniFi AP AC Pro;Wireless access point;Networking;wifi,access point;Floor 2;180;Tech Team;UAPAC-006;Ubiquiti;2022-05-12;2025-05-11;2023-03-20;Operational;no
Dell PowerEdge R740 Server;Rack server for database applications;Servers;server,database;Server Room;6800;Admin Team;DPE740-007;Dell;2021-07-03;2024-07-02;2023-06-01;Operational;no
HP Color LaserJet Pro MFP;Multifunction color laser printer;Printers;printer,color,laser;Print Room;650;Office Manager;HPCLJ-008;HP;2022-10-25;2025-10-24;2023-05-30;Operational;no
Microsoft Surface Pro 8;2-in-1 tablet for mobile workers;Computers;tablet,mobile;Field Office;1100;Lisa Wilson;MSP8-009;Microsoft;2023-04-07;2026-04-06;2023-07-15;Operational;yes
Synology DS1821+ NAS;Network attached storage for file sharing;Storage;nas,file server;IT Office;1000;Tech Team;SYN1821-010;Synology;2022-12-11;2025-12-10;2023-06-20;Operational;no
"LG 34"" UltraWide Monitor";Widescreen monitor for productivity;Peripherals;monitor,widescreen;Main Office;450;Various;LG34UW-011;LG;2022-08-19;2025-08-18;2022-08-19;Operational;no
Logitech MX Master 3 Mouse;Ergonomic wireless mouse;Peripherals;mouse,wireless;Various;90;Various;LGMX3-012;Logitech;2023-06-30;2026-06-29;2023-06-30;Operational;yes
APC Smart-UPS 1500VA;Uninterruptible power supply;Power;ups,battery backup;Server Room;800;Tech Team;APC1500-013;APC;2021-11-28;2024-11-27;2023-04-10;Operational;no
